cellulose_percent,hemicellulose_percent,lignin_percent,size_mm,temperature_C,time_hr,HBD_HBA_ratio,liquid_solid_ratio,LogR0,HBA-pKa/pkb,HBD-pKa/pkb,HBD-MW,HBA-TopoPSA,HBD-TopoPSA,HBA-nHBAcc,HBA-nHBDon,HBD-nHBAcc,HBD-nHBDon,HBA-SlogP_VSA1,HBA-SLogP,HBD-SlogP_VSA1,HBD-SLogP,HBA-nAromAtom,HBD-nAromAtom,HBA-nRot,HBD-nRot,HBA-nBase,HBD-nBase,HBD-nC,LogR0_sq,severity_x_time,log_time,sqrt_time,temp_sq,temp_x_LogR0,inv_temp,log_LSR,LSR_x_LogR0,LSR_sq,ratio_x_LogR0,lignin_x_LogR0,SLogP_sum
0.0,-0.015387513374711288,0.0,0.0,0.0,0.02338326935273995,0.0,-0.026122660549264546,-0.03506884165783304,-0.017084569215598668,-0.10847338446011655,0.018912300932154374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053036558890958554,0.0,0.0,0.0,0.004673707422752094,0.0,0.0,0.0,0.02342517149634438,-0.006461642749758224,0.0,-0.005034809256595244,0.0,0.0,0.0,0.0,0.0,-0.008864608026646582,0.0,0.0,-0.05766430724281034,0.0
0.028307474592501762,0.0,0.0,0.0,-0.017317037640461608,0.0,0.0,0.0,0.0,0.0,-0.13148715835329505,0.0,0.0,0.0,0.0,0.0,0.006930913601839035,0.0,0.0,0.051594772858029755,0.0,0.0,0.0,0.0,0.0,0.0,-0.011837020725690026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03951628377304014,0.0,0.0,-0.04959842147431254,0.0
0.0,-0.01023413345367108,0.0,0.0,0.0,0.0,0.0,0.0,-0.020817107165622066,0.0,-0.18774582864853204,0.0,0.024101283230113117,0.0,-0.004940136407729244,0.0,0.0,0.0,-0.003652919572343229,0.0,0.025850272649414405,-0.01666113807883009,0.0,-0.03140943506330074,0.0,0.0,0.0,0.0,0.0,0.006761000574396592,0.0,0.0,0.04104398736631329,0.024739129872264856,0.0,0.0,-0.029752700900420963,0.010057471100611571,0.0,-0.010133813099535195,-0.031269240116264,0.0
0.05693413190303632,0.0,0.0,0.0,0.0,0.0,0.0,-0.020670323637286055,0.0,0.0,-0.16749997932772684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013077006742530125,0.0,0.0,0.0,0.0,0.0,0.0,0.006439514968442494,-0.018520319863709046,0.0,0.0,0.0,0.0,0.0,-0.013747958658756812,0.0,-0.021281399072012316,0.026702238471029694,0.0,-0.03699409030943884,0.0
0.024220724752109096,0.0,0.0,0.0,0.0,0.031246668746153852,0.0,0.011809444456748933,-0.022745917591615813,0.0,-0.2020566399355627,-0.010228059124140043,0.009651760493778206,-0.007643486177406319,0.0,0.0,0.0,0.016074522344200565,-0.026118195655618025,0.0,0.015492765724029474,-0.00875867857933344,0.0,0.004708966575386014,0.0035124736696779775,0.01398213238571526,0.0,0.0,0.02760709362078273,-0.02161179167285134,0.0,-0.01982929691929422,0.0,0.0,-0.007222455689728112,0.0,0.0,0.025699076241078735,0.0,-0.02061449080387571,-0.046599726286454375,0.013356649342631532
0.020975473608053956,0.0,0.0,-0.020846472750423978,0.0,0.0,-0.008225342237007428,0.0,-0.009187347508235372,0.0032222179835584837,-0.1283814593071859,-0.015068010156427171,0.0,0.0,-0.006820207679957229,0.0,0.030452340071895383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024639505683453834,0.0,0.0,0.03426422746436595,0.0,0.0,0.0,-0.014531965207970012,-0.009558172695521987,0.0,0.0,0.0,-0.029606543073018556,0.0,-0.020136383165267713,-0.03754467136414413,0.0
0.007966303438078895,0.021571101052369954,0.0,0.0,0.0,0.0,-0.005397293049479561,0.0,0.0,0.0,-0.1917953027558362,0.0,-0.006851377526185233,0.0,0.0,-0.020047550598371374,0.0,0.0,-0.007857797267186148,0.0,-0.010450454853933672,-0.010374618414342857,0.02055651106743402,0.0,0.020531493602713734,0.0,0.0,0.0,0.04324900669793634,0.010250596906392448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006591744272784191,0.0,0.0,-0.04092593602193867,0.0
0.01993860677319046,-0.010256428134562536,-0.01019755406093338,-0.005744143112363366,0.0,0.0,-0.0025767876693315816,0.0,0.0,0.0,-0.21047776160662576,0.0012337250092023504,0.0,0.019970702475513972,0.0,0.0,0.0,0.0,-0.005929044441416188,0.013528706204606958,-0.024462008637162486,0.0,0.0,0.0010717727900573602,0.0,0.019255149773242785,0.010140836183476772,0.0,0.007165794941002399,0.018742467683642232,0.0,0.0,0.02993587357676189,0.006571391780106771,0.0052936658135469125,0.010375536193759532,0.0,0.007553161631876467,0.039680828417883895,0.0,-0.017751949574794382,0.0
0.017376196516579626,0.0,0.0,-0.01437635409246499,0.0,0.029462574535887853,-0.012133599793702095,0.0,0.0,0.0,-0.23360229837504723,-0.008612963660225518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02019077673691925,0.0,-0.003106124244685524,0.0,0.0,0.0,0.0,0.00040534833387646563,0.0,0.03650601669873167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03996541145489396,-0.0223043432086656,-0.008508874942463818,-0.004923768101270335,-0.009889518633784927,0.0
0.0,0.0,0.0,0.0,0.0050848291953130755,0.015564081468324864,0.0,0.0,0.022667566597009966,0.0,-0.249445775815905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017632869762633476,0.0,0.009902665163862678,0.0,0.00844659678163447,0.0,0.0,0.022192607061631144,0.01751175046748843,0.0,0.0,0.0,0.0,-0.015554367428806747,0.0046847579342059464,0.0274754234604732,0.0,0.0,0.0,0.0,0.0,0.017718698862264626
